booking_id,booking_date,check_in_date,channel_id,Channel Name,rate_code_id,gross_room_revenue,Commission Rate,commission_amount,net_room_revenue,status
BK_00036,2024-10-08 0:00,2024-10-19 0:00,CH_01,Booking.com,RT_CORP,12915.51,0.15,1937.33,10978.18,Checked-Out
BK_00037,2024-10-03 0:00,2024-11-21 0:00,CH_01,Booking.com,RT_PROMO,5357.04,0.15,803.56,4553.48,Confirmed
BK_00038,2024-12-09 0:00,2025-01-20 0:00,CH_01,Booking.com,RT_CORP,10079.71,0.15,1511.96,8567.75,Checked-Out
BK_00039,2024-08-19 0:00,2024-08-27 0:00,CH_01,Booking.com,RT_PROMO,6101.1,0.15,915.17,5185.93,Cancelled
BK_00040,2024-01-11 0:00,2024-02-18 0:00,CH_01,Booking.com,RT_PROMO,14056.75,0.15,2108.51,11948.24,Checked-Out
BK_00041,2024-01-04 0:00,2024-01-09 0:00,CH_01,Booking.com,RT_PROMO,2499.6,0.15,374.94,2124.66,Cancelled
BK_00042,2024-01-17 0:00,2024-03-13 0:00,CH_01,Booking.com,RT_RACK,13814.71,0.15,2072.21,11742.5,Checked-Out
BK_00043,2024-05-22 0:00,2024-07-04 0:00,CH_01,Booking.com,RT_PROMO,9654.8,0.15,1448.22,8206.58,Checked-Out
BK_00044,2024-10-19 0:00,2024-11-25 0:00,CH_01,Booking.com,RT_PROMO,13084.54,0.15,1962.68,11121.86,Checked-Out
BK_00045,2024-07-27 0:00,2024-08-09 0:00,CH_01,Booking.com,RT_RACK,4232.58,0.15,634.89,3597.69,Checked-Out
BK_00046,2024-06-30 0:00,2024-07-28 0:00,CH_01,Booking.com,RT_CORP,16444.62,0.15,2466.69,13977.93,Checked-Out
BK_00047,2024-01-28 0:00,2024-03-12 0:00,CH_01,Booking.com,RT_RACK,4315.94,0.15,647.39,3668.55,Checked-Out
BK_00048,2024-06-22 0:00,2024-08-13 0:00,CH_01,Booking.com,RT_PROMO,2889.67,0.15,433.45,2456.22,Cancelled
BK_00049,2024-10-01 0:00,2024-10-30 0:00,CH_01,Booking.com,RT_CORP,7914.25,0.15,1187.14,6727.11,Confirmed
BK_00050,2024-08-24 0:00,2024-09-09 0:00,CH_01,Booking.com,RT_CORP,3475.86,0.15,521.38,2954.48,Checked-Out
BK_00051,2024-10-08 0:00,2024-10-15 0:00,CH_01,Booking.com,RT_RACK,5352.1,0.15,802.82,4549.28,Checked-Out
BK_00052,2024-05-01 0:00,2024-05-12 0:00,CH_01,Booking.com,RT_CORP,17043.71,0.15,2556.56,14487.15,Checked-Out
BK_00053,2024-07-24 0:00,2024-09-20 0:00,CH_01,Booking.com,RT_PROMO,3300.71,0.15,495.11,2805.6,Confirmed
BK_00054,2024-07-18 0:00,2024-08-04 0:00,CH_01,Booking.com,RT_PROMO,13027.72,0.15,1954.16,11073.56,Confirmed
BK_00055,2024-10-11 0:00,2024-11-23 0:00,CH_01,Booking.com,RT_PROMO,11863.77,0.15,1779.57,10084.2,Cancelled
BK_00056,2024-04-21 0:00,2024-04-25 0:00,CH_01,Booking.com,RT_RACK,26384.76,0.15,3957.71,22427.05,Checked-Out
BK_00057,2024-01-30 0:00,2024-02-03 0:00,CH_01,Booking.com,RT_CORP,16738.48,0.15,2510.77,14227.71,Checked-Out
BK_00058,2024-09-28 0:00,2024-10-09 0:00,CH_01,Booking.com,RT_RACK,4133.67,0.15,620.05,3513.62,Checked-Out
BK_00059,2024-02-05 0:00,2024-03-15 0:00,CH_01,Booking.com,RT_PROMO,2424.32,0.15,363.65,2060.67,Confirmed
BK_00060,2024-10-18 0:00,2024-11-03 0:00,CH_01,Booking.com,RT_RACK,21686.98,0.15,3253.05,18433.93,Checked-Out
BK_00061,2024-08-02 0:00,2024-09-14 0:00,CH_01,Booking.com,RT_PROMO,13804.52,0.15,2070.68,11733.84,Checked-Out
BK_00062,2024-04-14 0:00,2024-05-27 0:00,CH_01,Booking.com,RT_PROMO,7937.77,0.15,1190.67,6747.1,Confirmed
BK_00063,2024-03-08 0:00,2024-04-20 0:00,CH_01,Booking.com,RT_CORP,12996.66,0.15,1949.5,11047.16,Confirmed
BK_00064,2024-02-07 0:00,2024-02-08 0:00,CH_01,Booking.com,RT_RACK,17547.55,0.15,2632.13,14915.42,Cancelled
BK_00065,2024-04-19 0:00,2024-05-22 0:00,CH_01,Booking.com,RT_PROMO,7965.95,0.15,1194.89,6771.06,Checked-Out
BK_00066,2024-02-05 0:00,2024-04-02 0:00,CH_01,Booking.com,RT_PROMO,5823.68,0.15,873.55,4950.13,Confirmed
BK_00067,2024-08-12 0:00,2024-10-05 0:00,CH_01,Booking.com,RT_PROMO,12590.53,0.15,1888.58,10701.95,Checked-Out
BK_00068,2024-11-30 0:00,2025-01-03 0:00,CH_01,Booking.com,RT_PROMO,3166.15,0.15,474.92,2691.23,Checked-Out
BK_00069,2024-02-23 0:00,2024-04-20 0:00,CH_01,Booking.com,RT_PROMO,4906.12,0.15,735.92,4170.2,Cancelled
BK_00070,2024-02-24 0:00,2024-04-12 0:00,CH_01,Booking.com,RT_PROMO,16735.75,0.15,2510.36,14225.39,Confirmed
BK_00071,2024-11-05 0:00,2024-11-19 0:00,CH_01,Booking.com,RT_PROMO,9410.4,0.15,1411.56,7998.84,Checked-Out
BK_00072,2024-05-15 0:00,2024-06-17 0:00,CH_01,Booking.com,RT_PROMO,10298.97,0.15,1544.85,8754.12,Checked-Out
BK_00073,2024-01-27 0:00,2024-02-02 0:00,CH_01,Booking.com,RT_PROMO,9541.65,0.15,1431.25,8110.4,Cancelled
BK_00074,2024-06-19 0:00,2024-08-08 0:00,CH_01,Booking.com,RT_PROMO,6358.3,0.15,953.75,5404.55,Cancelled
BK_00075,2024-08-14 0:00,2024-09-19 0:00,CH_01,Booking.com,RT_RACK,19753.2,0.15,2962.98,16790.22,Cancelled
BK_00076,2024-12-19 0:00,2025-02-15 0:00,CH_01,Booking.com,RT_RACK,9946.37,0.15,1491.96,8454.41,Checked-Out
BK_00077,2024-10-25 0:00,2024-11-30 0:00,CH_01,Booking.com,RT_CORP,8511.58,0.15,1276.74,7234.84,Confirmed
BK_00078,2024-06-06 0:00,2024-06-30 0:00,CH_01,Booking.com,RT_PROMO,2452.56,0.15,367.88,2084.68,Cancelled
BK_00079,2024-05-07 0:00,2024-06-19 0:00,CH_01,Booking.com,RT_PROMO,2731.3,0.15,409.69,2321.61,Checked-Out
BK_00080,2024-07-27 0:00,2024-09-05 0:00,CH_01,Booking.com,RT_PROMO,4987.1,0.15,748.07,4239.03,Checked-Out
BK_00081,2024-03-31 0:00,2024-05-27 0:00,CH_01,Booking.com,RT_RACK,20737.55,0.15,3110.63,17626.92,Confirmed
BK_00082,2024-06-19 0:00,2024-08-09 0:00,CH_01,Booking.com,RT_PROMO,11963.33,0.15,1794.5,10168.83,Confirmed
BK_00083,2024-12-25 0:00,2025-01-01 0:00,CH_01,Booking.com,RT_RACK,17384.66,0.15,2607.7,14776.96,Checked-Out
BK_00084,2024-04-23 0:00,2024-05-06 0:00,CH_01,Booking.com,RT_PROMO,9769.15,0.15,1465.37,8303.78,Confirmed
BK_00085,2024-04-26 0:00,2024-05-11 0:00,CH_01,Booking.com,RT_PROMO,2684.76,0.15,402.71,2282.05,Confirmed
BK_00086,2024-05-22 0:00,2024-07-17 0:00,CH_01,Booking.com,RT_PROMO,2698.68,0.15,404.8,2293.88,Confirmed
BK_00087,2024-09-17 0:00,2024-10-13 0:00,CH_01,Booking.com,RT_PROMO,15475.07,0.15,2321.26,13153.81,Checked-Out
BK_00088,2024-02-29 0:00,2024-04-26 0:00,CH_01,Booking.com,RT_PROMO,9014.42,0.15,1352.16,7662.26,Checked-Out
BK_00089,2024-05-15 0:00,2024-05-18 0:00,CH_01,Booking.com,RT_CORP,4409.99,0.15,661.5,3748.49,Checked-Out
BK_00090,2024-06-09 0:00,2024-07-07 0:00,CH_01,Booking.com,RT_RACK,22843.69,0.15,3426.55,19417.14,Checked-Out
BK_00091,2024-10-22 0:00,2024-11-04 0:00,CH_01,Booking.com,RT_RACK,12040.08,0.15,1806.01,10234.07,Checked-Out
BK_00092,2024-01-01 0:00,2024-02-04 0:00,CH_01,Booking.com,RT_PROMO,15394.9,0.15,2309.23,13085.67,Confirmed
BK_00093,2024-02-05 0:00,2024-03-19 0:00,CH_01,Booking.com,RT_PROMO,9376.71,0.15,1406.51,7970.2,Checked-Out
BK_00094,2024-03-04 0:00,2024-04-20 0:00,CH_01,Booking.com,RT_PROMO,8790.15,0.15,1318.52,7471.63,Checked-Out
BK_00095,2024-06-16 0:00,2024-07-12 0:00,CH_01,Booking.com,RT_PROMO,9406.64,0.15,1411.0,7995.64,Cancelled
BK_00096,2024-12-06 0:00,2024-12-31 0:00,CH_01,Booking.com,RT_PROMO,5727.84,0.15,859.18,4868.66,Confirmed
BK_00097,2024-01-01 0:00,2024-01-21 0:00,CH_01,Booking.com,RT_PROMO,8676.83,0.15,1301.52,7375.31,Confirmed
BK_00098,2024-10-23 0:00,2024-12-01 0:00,CH_01,Booking.com,RT_CORP,11395.89,0.15,1709.38,9686.51,Checked-Out
BK_00099,2024-12-11 0:00,2024-12-25 0:00,CH_01,Booking.com,RT_CORP,16319.04,0.15,2447.86,13871.18,Checked-Out
BK_00100,2024-03-27 0:00,2024-05-09 0:00,CH_01,Booking.com,RT_PROMO,2485.73,0.15,372.86,2112.87,Checked-Out
BK_00101,2024-11-20 0:00,2024-12-30 0:00,CH_01,Booking.com,RT_RACK,11623.5,0.15,1743.52,9879.98,Checked-Out
BK_00102,2024-04-30 0:00,2024-06-13 0:00,CH_01,Booking.com,RT_PROMO,9011.05,0.15,1351.66,7659.39,Checked-Out
BK_00103,2024-03-16 0:00,2024-03-18 0:00,CH_01,Booking.com,RT_PROMO,2688.07,0.15,403.21,2284.86,Checked-Out
BK_00104,2024-11-08 0:00,2025-01-02 0:00,CH_01,Booking.com,RT_CORP,3906.4,0.15,585.96,3320.44,Checked-Out
BK_00105,2024-11-18 0:00,2024-12-25 0:00,CH_01,Booking.com,RT_CORP,8874.13,0.15,1331.12,7543.01,Checked-Out
BK_00106,2024-05-04 0:00,2024-05-14 0:00,CH_01,Booking.com,RT_RACK,4217.64,0.15,632.65,3584.99,Checked-Out
BK_00107,2024-04-22 0:00,2024-05-04 0:00,CH_01,Booking.com,RT_CORP,18879.05,0.15,2831.86,16047.19,Cancelled
BK_00108,2024-05-07 0:00,2024-07-05 0:00,CH_01,Booking.com,RT_CORP,4234.88,0.15,635.23,3599.65,Confirmed
BK_00109,2024-08-25 0:00,2024-10-07 0:00,CH_01,Booking.com,RT_PROMO,13021.11,0.15,1953.17,11067.94,Checked-Out
BK_00110,2024-08-14 0:00,2024-09-23 0:00,CH_01,Booking.com,RT_CORP,16661.92,0.15,2499.29,14162.63,Checked-Out
BK_00111,2024-10-07 0:00,2024-11-05 0:00,CH_01,Booking.com,RT_CORP,7230.74,0.15,1084.61,6146.13,Checked-Out
BK_00112,2024-05-06 0:00,2024-06-29 0:00,CH_01,Booking.com,RT_CORP,10333.27,0.15,1549.99,8783.28,Checked-Out
BK_00113,2024-05-20 0:00,2024-06-18 0:00,CH_01,Booking.com,RT_PROMO,3291.1,0.15,493.66,2797.44,Confirmed
BK_00114,2024-06-20 0:00,2024-07-11 0:00,CH_01,Booking.com,RT_RACK,25488.95,0.15,3823.34,21665.61,Confirmed
BK_00115,2024-04-28 0:00,2024-05-23 0:00,CH_01,Booking.com,RT_PROMO,6001.47,0.15,900.22,5101.25,Cancelled
BK_00116,2024-07-27 0:00,2024-08-18 0:00,CH_01,Booking.com,RT_CORP,21945.21,0.15,3291.78,18653.43,Checked-Out
BK_00117,2024-04-15 0:00,2024-06-08 0:00,CH_01,Booking.com,RT_CORP,17195.54,0.15,2579.33,14616.21,Checked-Out
BK_00118,2024-10-26 0:00,2024-12-10 0:00,CH_01,Booking.com,RT_CORP,3478.14,0.15,521.72,2956.42,Checked-Out
BK_00119,2024-06-29 0:00,2024-07-19 0:00,CH_01,Booking.com,RT_CORP,17668.41,0.15,2650.26,15018.15,Checked-Out
BK_00120,2024-10-06 0:00,2024-11-27 0:00,CH_01,Booking.com,RT_PROMO,14542.78,0.15,2181.42,12361.36,Checked-Out
BK_00121,2024-05-19 0:00,2024-06-16 0:00,CH_01,Booking.com,RT_RACK,20386.87,0.15,3058.03,17328.84,Checked-Out
BK_00122,2024-12-08 0:00,2025-01-21 0:00,CH_01,Booking.com,RT_PROMO,13032.68,0.15,1954.9,11077.78,Checked-Out
BK_00123,2024-03-06 0:00,2024-04-15 0:00,CH_01,Booking.com,RT_RACK,21629.28,0.15,3244.39,18384.89,Checked-Out
BK_00124,2024-10-30 0:00,2024-12-06 0:00,CH_01,Booking.com,RT_RACK,3998.33,0.15,599.75,3398.58,Checked-Out
BK_00125,2024-03-10 0:00,2024-05-05 0:00,CH_01,Booking.com,RT_PROMO,10413.51,0.15,1562.03,8851.48,Cancelled
BK_00126,2024-07-13 0:00,2024-08-03 0:00,CH_01,Booking.com,RT_CORP,7596.11,0.15,1139.42,6456.69,Confirmed
BK_00127,2024-07-13 0:00,2024-07-31 0:00,CH_01,Booking.com,RT_PROMO,12726.62,0.15,1908.99,10817.63,Checked-Out
BK_00128,2024-08-28 0:00,2024-08-30 0:00,CH_01,Booking.com,RT_RACK,25903.25,0.15,3885.49,22017.76,Checked-Out
BK_00129,2024-06-28 0:00,2024-07-13 0:00,CH_01,Booking.com,RT_RACK,3835.95,0.15,575.39,3260.56,Checked-Out
BK_00130,2024-05-06 0:00,2024-05-19 0:00,CH_01,Booking.com,RT_PROMO,2880.53,0.15,432.08,2448.45,Confirmed
BK_00131,2024-08-30 0:00,2024-10-12 0:00,CH_01,Booking.com,RT_PROMO,2789.06,0.15,418.36,2370.7,Checked-Out
BK_00132,2024-05-11 0:00,2024-06-30 0:00,CH_01,Booking.com,RT_PROMO,7793.0,0.15,1168.95,6624.05,Checked-Out
BK_00133,2024-02-28 0:00,2024-04-18 0:00,CH_01,Booking.com,RT_PROMO,4994.94,0.15,749.24,4245.7,Cancelled
BK_00134,2024-01-14 0:00,2024-03-14 0:00,CH_01,Booking.com,RT_CORP,11037.08,0.15,1655.56,9381.52,Checked-Out
BK_00135,2024-04-11 0:00,2024-04-16 0:00,CH_01,Booking.com,RT_PROMO,16520.26,0.15,2478.04,14042.22,Cancelled
BK_00136,2024-06-03 0:00,2024-07-28 0:00,CH_01,Booking.com,RT_RACK,21670.22,0.15,3250.53,18419.69,Checked-Out
BK_00137,2024-10-16 0:00,2024-12-06 0:00,CH_01,Booking.com,RT_PROMO,2888.41,0.15,433.26,2455.15,Checked-Out
BK_00138,2024-12-04 0:00,2024-12-28 0:00,CH_01,Booking.com,RT_PROMO,3068.96,0.15,460.34,2608.62,Cancelled
BK_00139,2024-08-03 0:00,2024-09-25 0:00,CH_01,Booking.com,RT_RACK,17590.87,0.15,2638.63,14952.24,Checked-Out
BK_00140,2024-07-04 0:00,2024-08-14 0:00,CH_01,Booking.com,RT_PROMO,13329.39,0.15,1999.41,11329.98,Confirmed
BK_00141,2024-09-24 0:00,2024-11-05 0:00,CH_01,Booking.com,RT_CORP,13530.16,0.15,2029.52,11500.64,Checked-Out
BK_00142,2024-10-30 0:00,2024-11-17 0:00,CH_01,Booking.com,RT_PROMO,7880.24,0.15,1182.04,6698.2,Checked-Out
BK_00143,2024-02-14 0:00,2024-03-03 0:00,CH_01,Booking.com,RT_PROMO,11469.21,0.15,1720.38,9748.83,Checked-Out
BK_00144,2024-10-18 0:00,2024-11-27 0:00,CH_01,Booking.com,RT_PROMO,10699.44,0.15,1604.92,9094.52,Cancelled
BK_00145,2024-06-15 0:00,2024-06-27 0:00,CH_01,Booking.com,RT_PROMO,10636.57,0.15,1595.49,9041.08,Confirmed
BK_00146,2024-05-12 0:00,2024-06-03 0:00,CH_01,Booking.com,RT_PROMO,7248.45,0.15,1087.27,6161.18,Checked-Out
BK_00147,2024-09-21 0:00,2024-10-04 0:00,CH_01,Booking.com,RT_PROMO,2977.37,0.15,446.61,2530.76,Checked-Out
BK_00148,2024-09-07 0:00,2024-10-13 0:00,CH_01,Booking.com,RT_CORP,7797.13,0.15,1169.57,6627.56,Checked-Out
BK_00149,2024-09-08 0:00,2024-10-07 0:00,CH_01,Booking.com,RT_RACK,3906.08,0.15,585.91,3320.17,Confirmed
BK_00150,2024-07-26 0:00,2024-09-09 0:00,CH_01,Booking.com,RT_PROMO,5306.15,0.15,795.92,4510.23,Checked-Out
BK_00151,2024-07-07 0:00,2024-08-07 0:00,CH_01,Booking.com,RT_PROMO,16350.5,0.15,2452.57,13897.93,Confirmed
BK_00152,2024-10-08 0:00,2024-10-30 0:00,CH_01,Booking.com,RT_CORP,10645.85,0.15,1596.88,9048.97,Confirmed
BK_00153,2024-05-08 0:00,2024-05-23 0:00,CH_01,Booking.com,RT_PROMO,2522.0,0.15,378.3,2143.7,Confirmed
BK_00154,2024-10-01 0:00,2024-11-19 0:00,CH_01,Booking.com,RT_PROMO,5719.33,0.15,857.9,4861.43,Cancelled
BK_00155,2024-09-04 0:00,2024-09-22 0:00,CH_01,Booking.com,RT_PROMO,16729.69,0.15,2509.45,14220.24,Checked-Out
BK_00156,2024-04-09 0:00,2024-04-28 0:00,CH_01,Booking.com,RT_PROMO,5234.43,0.15,785.16,4449.27,Cancelled
BK_00157,2024-01-08 0:00,2024-02-23 0:00,CH_01,Booking.com,RT_PROMO,15193.46,0.15,2279.02,12914.44,Confirmed
BK_00158,2024-01-28 0:00,2024-03-04 0:00,CH_01,Booking.com,RT_PROMO,9379.16,0.15,1406.87,7972.29,Checked-Out
BK_00159,2024-09-08 0:00,2024-09-15 0:00,CH_01,Booking.com,RT_PROMO,2612.88,0.15,391.93,2220.95,Checked-Out
BK_00160,2024-08-13 0:00,2024-09-04 0:00,CH_01,Booking.com,RT_RACK,9943.88,0.15,1491.58,8452.3,Confirmed
BK_00161,2024-09-01 0:00,2024-09-09 0:00,CH_01,Booking.com,RT_CORP,3719.15,0.15,557.87,3161.28,Checked-Out
BK_00162,2024-10-22 0:00,2024-12-02 0:00,CH_01,Booking.com,RT_PROMO,2999.66,0.15,449.95,2549.71,Cancelled
BK_00163,2024-10-15 0:00,2024-11-04 0:00,CH_01,Booking.com,RT_PROMO,3000.86,0.15,450.13,2550.73,Cancelled
BK_00164,2024-08-01 0:00,2024-09-09 0:00,CH_01,Booking.com,RT_PROMO,14525.3,0.15,2178.79,12346.51,Checked-Out
BK_00165,2024-07-13 0:00,2024-08-11 0:00,CH_01,Booking.com,RT_PROMO,9873.94,0.15,1481.09,8392.85,Checked-Out
BK_00166,2024-08-07 0:00,2024-08-27 0:00,CH_01,Booking.com,RT_RACK,25703.01,0.15,3855.45,21847.56,Checked-Out
BK_00167,2024-02-20 0:00,2024-04-09 0:00,CH_01,Booking.com,RT_PROMO,5388.73,0.15,808.31,4580.42,Confirmed
BK_00168,2024-02-11 0:00,2024-02-22 0:00,CH_01,Booking.com,RT_PROMO,5125.58,0.15,768.84,4356.74,Checked-Out
BK_00169,2024-03-21 0:00,2024-03-22 0:00,CH_01,Booking.com,RT_CORP,13136.92,0.15,1970.54,11166.38,Checked-Out
BK_00170,2024-08-28 0:00,2024-09-16 0:00,CH_01,Booking.com,RT_PROMO,2959.08,0.15,443.86,2515.22,Confirmed
BK_00171,2024-05-24 0:00,2024-07-08 0:00,CH_01,Booking.com,RT_RACK,19568.66,0.15,2935.3,16633.36,Checked-Out
BK_00172,2024-05-15 0:00,2024-07-05 0:00,CH_01,Booking.com,RT_PROMO,11981.28,0.15,1797.19,10184.09,Confirmed
BK_00173,2024-10-05 0:00,2024-10-20 0:00,CH_01,Booking.com,RT_PROMO,5763.7,0.15,864.55,4899.15,Checked-Out
BK_00174,2024-02-06 0:00,2024-02-10 0:00,CH_01,Booking.com,RT_PROMO,5203.93,0.15,780.59,4423.34,Checked-Out
BK_00175,2024-10-18 0:00,2024-12-16 0:00,CH_01,Booking.com,RT_CORP,12264.24,0.15,1839.64,10424.6,Confirmed
BK_00176,2024-12-18 0:00,2025-01-07 0:00,CH_01,Booking.com,RT_PROMO,10203.52,0.15,1530.53,8672.99,Checked-Out
BK_00177,2024-09-09 0:00,2024-10-08 0:00,CH_01,Booking.com,RT_RACK,4913.23,0.15,736.98,4176.25,Checked-Out
BK_00178,2024-06-14 0:00,2024-07-23 0:00,CH_01,Booking.com,RT_RACK,13302.32,0.15,1995.35,11306.97,Cancelled
BK_00179,2024-12-11 0:00,2025-02-03 0:00,CH_01,Booking.com,RT_RACK,26501.75,0.15,3975.26,22526.49,Checked-Out
BK_00180,2024-12-10 0:00,2025-02-01 0:00,CH_01,Booking.com,RT_RACK,12124.79,0.15,1818.72,10306.07,Checked-Out
BK_00181,2024-03-30 0:00,2024-04-30 0:00,CH_02,Expedia,RT_CORP,18418.09,0.18,3315.26,15102.83,Checked-Out
BK_00182,2024-04-02 0:00,2024-05-10 0:00,CH_02,Expedia,RT_CORP,13523.68,0.18,2434.26,11089.42,Checked-Out
BK_00183,2024-08-28 0:00,2024-09-20 0:00,CH_02,Expedia,RT_RACK,21125.57,0.18,3802.6,17322.97,Confirmed
BK_00184,2024-02-23 0:00,2024-04-18 0:00,CH_02,Expedia,RT_RACK,10413.62,0.18,1874.45,8539.17,Checked-Out
BK_00185,2024-09-10 0:00,2024-09-29 0:00,CH_02,Expedia,RT_RACK,16925.03,0.18,3046.51,13878.52,Checked-Out
BK_00186,2024-06-10 0:00,2024-06-27 0:00,CH_02,Expedia,RT_RACK,14593.42,0.18,2626.82,11966.6,Checked-Out
BK_00187,2024-07-25 0:00,2024-09-19 0:00,CH_02,Expedia,RT_RACK,25560.62,0.18,4600.91,20959.71,Checked-Out
BK_00188,2024-10-04 0:00,2024-11-03 0:00,CH_02,Expedia,RT_RACK,18797.77,0.18,3383.6,15414.17,Confirmed
BK_00189,2024-07-04 0:00,2024-08-13 0:00,CH_02,Expedia,RT_CORP,15737.74,0.18,2832.79,12904.95,Checked-Out
BK_00190,2024-04-14 0:00,2024-05-02 0:00,CH_02,Expedia,RT_PROMO,13085.08,0.18,2355.31,10729.77,Checked-Out
BK_00191,2024-08-12 0:00,2024-10-08 0:00,CH_02,Expedia,RT_RACK,15886.55,0.18,2859.58,13026.97,Cancelled
BK_00192,2024-11-18 0:00,2024-12-27 0:00,CH_02,Expedia,RT_PROMO,6518.54,0.18,1173.34,5345.2,Confirmed
BK_00193,2024-01-08 0:00,2024-02-13 0:00,CH_02,Expedia,RT_RACK,20972.63,0.18,3775.07,17197.56,Confirmed
