spend_id,spend_date,channel_id,platform,cost_amount,clicks
SP_022_FA,2024-12-01,CH_01,Facebook,930.63,130
SP_022_IN,2024-12-01,CH_01,Instagram,334.99,50
SP_023_GO,2024-12-02,CH_01,Google Ads,1552.18,140
SP_023_FA,2024-12-02,CH_01,Facebook,559.91,85
SP_023_IN,2024-12-02,CH_01,Instagram,662.87,100
SP_024_GO,2024-12-03,CH_01,Google Ads,1711.88,146
SP_024_FA,2024-12-03,CH_01,Facebook,755.39,109
SP_024_IN,2024-12-03,CH_01,Instagram,540.04,76
SP_025_GO,2024-12-04,CH_01,Google Ads,1691.24,163
SP_025_FA,2024-12-04,CH_01,Facebook,760.66,99
SP_025_IN,2024-12-04,CH_01,Instagram,846.63,114
SP_026_GO,2024-12-05,CH_01,Google Ads,1558.78,123
SP_026_FA,2024-12-05,CH_01,Facebook,811.36,104
SP_026_IN,2024-12-05,CH_01,Instagram,549.22,94
SP_027_GO,2024-12-06,CH_01,Google Ads,1826.51,147
SP_027_FA,2024-12-06,CH_01,Facebook,726.99,103
SP_027_IN,2024-12-06,CH_01,Instagram,356.49,52
SP_028_GO,2024-12-07,CH_01,Google Ads,1501.87,141
SP_028_FA,2024-12-07,CH_01,Facebook,707.03,97
SP_028_IN,2024-12-07,CH_01,Instagram,455.1,70
SP_029_GO,2024-12-08,CH_01,Google Ads,1350.6,106
SP_029_FA,2024-12-08,CH_01,Facebook,676.38,103
SP_029_IN,2024-12-08,CH_01,Instagram,253.27,36
SP_030_GO,2024-12-09,CH_01,Google Ads,1730.69,148
SP_030_FA,2024-12-09,CH_01,Facebook,915.81,119
SP_030_IN,2024-12-09,CH_01,Instagram,528.53,83
SP_031_GO,2024-12-10,CH_01,Google Ads,1545.34,130
SP_031_FA,2024-12-10,CH_01,Facebook,914.01,128
SP_031_IN,2024-12-10,CH_01,Instagram,716.26,107
SP_032_GO,2024-12-11,CH_01,Google Ads,1974.63,144
SP_032_FA,2024-12-11,CH_01,Facebook,1086.19,133
SP_032_IN,2024-12-11,CH_01,Instagram,504.24,66
SP_033_GO,2024-12-12,CH_01,Google Ads,1535.54,136
SP_033_FA,2024-12-12,CH_01,Facebook,472.83,64
SP_033_IN,2024-12-12,CH_01,Instagram,402.74,60
SP_034_GO,2024-12-13,CH_01,Google Ads,1539.0,117
SP_034_FA,2024-12-13,CH_01,Facebook,961.99,113
SP_034_IN,2024-12-13,CH_01,Instagram,452.95,62
SP_035_GO,2024-12-14,CH_01,Google Ads,1227.6,105
SP_035_FA,2024-12-14,CH_01,Facebook,638.66,92
SP_035_IN,2024-12-14,CH_01,Instagram,427.73,71
SP_036_GO,2024-12-15,CH_01,Google Ads,1275.69,115
SP_036_FA,2024-12-15,CH_01,Facebook,826.38,105
SP_036_IN,2024-12-15,CH_01,Instagram,604.06,85
SP_037_GO,2024-12-16,CH_01,Google Ads,1232.29,111
SP_037_FA,2024-12-16,CH_01,Facebook,858.13,116
SP_037_IN,2024-12-16,CH_01,Instagram,447.09,64
SP_038_GO,2024-12-17,CH_01,Google Ads,1380.46,128
SP_038_FA,2024-12-17,CH_01,Facebook,806.8,112
SP_038_IN,2024-12-17,CH_01,Instagram,440.94,71
SP_039_GO,2024-12-18,CH_01,Google Ads,1314.04,118
SP_039_FA,2024-12-18,CH_01,Facebook,902.93,123
SP_039_IN,2024-12-18,CH_01,Instagram,656.53,97
SP_040_GO,2024-12-19,CH_01,Google Ads,1257.83,126
SP_040_FA,2024-12-19,CH_01,Facebook,585.95,86
SP_040_IN,2024-12-19,CH_01,Instagram,469.68,67
SP_041_GO,2024-12-20,CH_01,Google Ads,2097.91,155
SP_041_FA,2024-12-20,CH_01,Facebook,722.69,89
SP_041_IN,2024-12-20,CH_01,Instagram,695.34,109
SP_042_GO,2024-12-21,CH_01,Google Ads,1845.66,146
SP_042_FA,2024-12-21,CH_01,Facebook,726.39,102
SP_042_IN,2024-12-21,CH_01,Instagram,363.82,69
SP_043_GO,2024-12-22,CH_01,Google Ads,1507.72,139
SP_043_FA,2024-12-22,CH_01,Facebook,625.23,84
SP_043_IN,2024-12-22,CH_01,Instagram,373.63,54
SP_044_GO,2024-12-23,CH_01,Google Ads,1625.25,146
SP_044_FA,2024-12-23,CH_01,Facebook,664.47,102
SP_044_IN,2024-12-23,CH_01,Instagram,620.16,94
SP_045_GO,2024-12-24,CH_01,Google Ads,1698.57,142
SP_045_FA,2024-12-24,CH_01,Facebook,575.58,91
SP_045_IN,2024-12-24,CH_01,Instagram,665.24,97
SP_046_GO,2024-12-25,CH_01,Google Ads,1520.18,128
SP_046_FA,2024-12-25,CH_01,Facebook,989.84,126
SP_046_IN,2024-12-25,CH_01,Instagram,400.81,70
SP_047_GO,2024-12-26,CH_01,Google Ads,1278.31,114
SP_047_FA,2024-12-26,CH_01,Facebook,874.67,129
SP_047_IN,2024-12-26,CH_01,Instagram,426.37,69
SP_048_GO,2024-12-27,CH_01,Google Ads,1470.68,128
SP_048_FA,2024-12-27,CH_01,Facebook,625.97,80
SP_048_IN,2024-12-27,CH_01,Instagram,599.76,77
SP_049_GO,2024-12-28,CH_01,Google Ads,1503.67,116
SP_049_FA,2024-12-28,CH_01,Facebook,891.25,128
SP_049_IN,2024-12-28,CH_01,Instagram,439.53,73
SP_050_GO,2024-12-29,CH_01,Google Ads,1391.43,121
SP_050_FA,2024-12-29,CH_01,Facebook,646.54,103
SP_050_IN,2024-12-29,CH_01,Instagram,770.17,121
SP_051_GO,2024-12-30,CH_01,Google Ads,1518.42,139
SP_051_FA,2024-12-30,CH_01,Facebook,685.4,98
SP_051_IN,2024-12-30,CH_01,Instagram,519.39,80
SP_052_GO,2024-12-31,CH_01,Google Ads,1779.77,152
SP_052_FA,2024-12-31,CH_01,Facebook,834.54,116
SP_052_IN,2024-12-31,CH_01,Instagram,535.46,84
SP_053_GO,2025-01-01,CH_01,Google Ads,1840.3,156
SP_053_FA,2025-01-01,CH_01,Facebook,709.18,100
SP_053_IN,2025-01-01,CH_01,Instagram,508.23,78
SP_054_GO,2025-01-02,CH_01,Google Ads,1494.08,136
SP_054_FA,2025-01-02,CH_01,Facebook,898.21,117
SP_054_IN,2025-01-02,CH_01,Instagram,692.84,112
SP_055_GO,2025-01-03,CH_01,Google Ads,1451.8,149
SP_055_FA,2025-01-03,CH_01,Facebook,750.6,118
SP_055_IN,2025-01-03,CH_01,Instagram,413.71,62
SP_056_GO,2025-01-04,CH_01,Google Ads,1361.09,126
SP_056_FA,2025-01-04,CH_01,Facebook,716.3,94
SP_056_IN,2025-01-04,CH_01,Instagram,407.73,63
SP_057_GO,2025-01-05,CH_01,Google Ads,1605.31,131
SP_057_FA,2025-01-05,CH_01,Facebook,724.86,118
SP_057_IN,2025-01-05,CH_01,Instagram,612.06,99
SP_058_GO,2025-01-06,CH_01,Google Ads,1510.34,142
SP_058_FA,2025-01-06,CH_01,Facebook,953.65,110
SP_058_IN,2025-01-06,CH_01,Instagram,513.39,82
SP_059_GO,2025-01-07,CH_01,Google Ads,1349.75,133
SP_059_FA,2025-01-07,CH_01,Facebook,952.05,129
SP_059_IN,2025-01-07,CH_01,Instagram,364.26,61
SP_060_GO,2025-01-08,CH_01,Google Ads,1705.33,138
SP_060_FA,2025-01-08,CH_01,Facebook,642.99,82
SP_060_IN,2025-01-08,CH_01,Instagram,469.27,78
SP_061_GO,2025-01-09,CH_01,Google Ads,1691.02,129
SP_061_FA,2025-01-09,CH_01,Facebook,528.72,78
SP_061_IN,2025-01-09,CH_01,Instagram,641.42,97
SP_062_GO,2025-01-10,CH_01,Google Ads,1523.68,123
SP_062_FA,2025-01-10,CH_01,Facebook,894.3,121
SP_062_IN,2025-01-10,CH_01,Instagram,432.06,69
SP_063_GO,2025-01-11,CH_01,Google Ads,1471.9,143
SP_063_FA,2025-01-11,CH_01,Facebook,1038.77,127
SP_063_IN,2025-01-11,CH_01,Instagram,508.07,76
SP_064_GO,2025-01-12,CH_01,Google Ads,2114.56,159
SP_064_FA,2025-01-12,CH_01,Facebook,812.24,131
SP_064_IN,2025-01-12,CH_01,Instagram,500.27,74
SP_065_GO,2025-01-13,CH_01,Google Ads,1695.08,129
SP_065_FA,2025-01-13,CH_01,Facebook,888.36,132
SP_065_IN,2025-01-13,CH_01,Instagram,470.49,77
SP_066_GO,2025-01-14,CH_01,Google Ads,1513.21,134
SP_066_FA,2025-01-14,CH_01,Facebook,802.59,120
SP_066_IN,2025-01-14,CH_01,Instagram,186.97,33
SP_067_GO,2025-01-15,CH_01,Google Ads,1296.71,119
SP_067_FA,2025-01-15,CH_01,Facebook,697.27,106
SP_067_IN,2025-01-15,CH_01,Instagram,348.97,58
SP_068_GO,2025-01-16,CH_01,Google Ads,1285.81,117
SP_068_FA,2025-01-16,CH_01,Facebook,698.91,92
SP_068_IN,2025-01-16,CH_01,Instagram,391.47,62
SP_069_GO,2025-01-17,CH_01,Google Ads,1567.25,128
SP_069_FA,2025-01-17,CH_01,Facebook,780.52,100
SP_069_IN,2025-01-17,CH_01,Instagram,381.99,59
SP_070_GO,2025-01-18,CH_01,Google Ads,1317.25,127
SP_070_FA,2025-01-18,CH_01,Facebook,836.21,102
SP_070_IN,2025-01-18,CH_01,Instagram,418.19,65
SP_071_GO,2025-01-19,CH_01,Google Ads,1157.96,114
SP_071_FA,2025-01-19,CH_01,Facebook,617.73,89
SP_071_IN,2025-01-19,CH_01,Instagram,465.92,73
SP_072_GO,2025-01-20,CH_01,Google Ads,1179.81,108
SP_072_FA,2025-01-20,CH_01,Facebook,718.78,112
SP_072_IN,2025-01-20,CH_01,Instagram,492.27,74
SP_073_GO,2025-01-21,CH_01,Google Ads,1453.15,123
SP_073_FA,2025-01-21,CH_01,Facebook,586.09,76
SP_073_IN,2025-01-21,CH_01,Instagram,568.02,87
SP_074_GO,2025-01-22,CH_01,Google Ads,1769.13,158
SP_074_FA,2025-01-22,CH_01,Facebook,735.13,92
SP_074_IN,2025-01-22,CH_01,Instagram,693.75,113
SP_075_GO,2025-01-23,CH_01,Google Ads,1682.29,135
SP_075_FA,2025-01-23,CH_01,Facebook,769.33,102
SP_075_IN,2025-01-23,CH_01,Instagram,583.51,94
SP_076_GO,2025-01-24,CH_01,Google Ads,1666.67,145
SP_076_FA,2025-01-24,CH_01,Facebook,537.03,81
SP_076_IN,2025-01-24,CH_01,Instagram,474.83,68
SP_077_GO,2025-01-25,CH_01,Google Ads,1889.44,155
SP_077_FA,2025-01-25,CH_01,Facebook,825.59,111
SP_077_IN,2025-01-25,CH_01,Instagram,570.52,85
SP_078_GO,2025-01-26,CH_01,Google Ads,1490.36,146
SP_078_FA,2025-01-26,CH_01,Facebook,588.05,89
SP_078_IN,2025-01-26,CH_01,Instagram,736.01,100
SP_079_GO,2025-01-27,CH_01,Google Ads,1268.08,98
SP_079_FA,2025-01-27,CH_01,Facebook,817.25,105
SP_079_IN,2025-01-27,CH_01,Instagram,645.16,89
SP_080_GO,2025-01-28,CH_01,Google Ads,1444.63,141
SP_080_FA,2025-01-28,CH_01,Facebook,757.2,101
SP_080_IN,2025-01-28,CH_01,Instagram,519.99,76
SP_081_GO,2025-01-29,CH_01,Google Ads,1489.49,136
SP_081_FA,2025-01-29,CH_01,Facebook,578.87,83
SP_081_IN,2025-01-29,CH_01,Instagram,460.41,84
SP_082_GO,2025-01-30,CH_01,Google Ads,1188.55,123
SP_082_FA,2025-01-30,CH_01,Facebook,725.85,92
SP_082_IN,2025-01-30,CH_01,Instagram,405.07,59
SP_083_GO,2025-01-31,CH_01,Google Ads,2426.24,189
SP_083_FA,2025-01-31,CH_01,Facebook,807.92,105
SP_083_IN,2025-01-31,CH_01,Instagram,312.5,55
SP_084_GO,2025-02-01,CH_01,Google Ads,1424.01,120
SP_084_FA,2025-02-01,CH_01,Facebook,749.09,109
SP_084_IN,2025-02-01,CH_01,Instagram,480.54,73
SP_085_GO,2025-02-02,CH_01,Google Ads,1337.7,117
SP_085_FA,2025-02-02,CH_01,Facebook,544.72,74
SP_085_IN,2025-02-02,CH_01,Instagram,457.8,73
SP_086_GO,2025-02-03,CH_01,Google Ads,1630.37,131
SP_086_FA,2025-02-03,CH_01,Facebook,673.15,102
SP_086_IN,2025-02-03,CH_01,Instagram,427.85,71
SP_087_GO,2025-02-04,CH_01,Google Ads,1290.47,121
SP_087_FA,2025-02-04,CH_01,Facebook,856.93,112
SP_087_IN,2025-02-04,CH_01,Instagram,634.22,90
SP_088_GO,2025-02-05,CH_01,Google Ads,1277.47,115
SP_088_FA,2025-02-05,CH_01,Facebook,859.69,121
SP_088_IN,2025-02-05,CH_01,Instagram,316.07,45
SP_089_GO,2025-02-06,CH_01,Google Ads,1572.03,122
SP_089_FA,2025-02-06,CH_01,Facebook,675.72,94
SP_089_IN,2025-02-06,CH_01,Instagram,552.9,97
SP_090_GO,2025-02-07,CH_01,Google Ads,1164.52,109
SP_090_FA,2025-02-07,CH_01,Facebook,385.15,50
SP_090_IN,2025-02-07,CH_01,Instagram,411.28,59
SP_091_GO,2025-02-08,CH_01,Google Ads,1531.44,127
SP_091_FA,2025-02-08,CH_01,Facebook,547.54,81
SP_091_IN,2025-02-08,CH_01,Instagram,495.44,71
SP_092_GO,2025-02-09,CH_01,Google Ads,1291.65,119
SP_092_FA,2025-02-09,CH_01,Facebook,497.6,68
SP_092_IN,2025-02-09,CH_01,Instagram,387.76,60
SP_093_GO,2025-02-10,CH_01,Google Ads,1275.48,115
SP_093_FA,2025-02-10,CH_01,Facebook,714.34,95
SP_093_IN,2025-02-10,CH_01,Instagram,723.89,105
SP_094_GO,2025-02-11,CH_01,Google Ads,1590.54,148
SP_094_FA,2025-02-11,CH_01,Facebook,438.69,61
SP_094_IN,2025-02-11,CH_01,Instagram,583.49,85
SP_095_GO,2025-02-12,CH_01,Google Ads,1292.46,141
SP_095_FA,2025-02-12,CH_01,Facebook,828.04,112
SP_095_IN,2025-02-12,CH_01,Instagram,288.8,42
SP_096_GO,2025-02-13,CH_01,Google Ads,1457.64,123
SP_096_FA,2025-02-13,CH_01,Facebook,796.92,107
SP_096_IN,2025-02-13,CH_01,Instagram,276.3,43
SP_097_GO,2025-02-14,CH_01,Google Ads,1088.74,90
SP_097_FA,2025-02-14,CH_01,Facebook,745.77,115
SP_097_IN,2025-02-14,CH_01,Instagram,344.35,57
SP_098_GO,2025-02-15,CH_01,Google Ads,1318.62,111
SP_098_FA,2025-02-15,CH_01,Facebook,621.22,82
SP_098_IN,2025-02-15,CH_01,Instagram,629.49,89
SP_099_GO,2025-02-16,CH_01,Google Ads,1264.73,99
SP_099_FA,2025-02-16,CH_01,Facebook,938.94,116
SP_099_IN,2025-02-16,CH_01,Instagram,409.31,67
SP_100_GO,2025-02-17,CH_01,Google Ads,1069.61,102
SP_100_FA,2025-02-17,CH_01,Facebook,691.95,90
SP_100_IN,2025-02-17,CH_01,Instagram,581.02,93
SP_101_GO,2025-02-18,CH_01,Google Ads,1357.09,119
SP_101_FA,2025-02-18,CH_01,Facebook,594.66,78
SP_101_IN,2025-02-18,CH_01,Instagram,499.6,76
SP_102_GO,2025-02-19,CH_01,Google Ads,1520.34,126
SP_102_FA,2025-02-19,CH_01,Facebook,671.7,100
SP_102_IN,2025-02-19,CH_01,Instagram,570.42,86
SP_103_GO,2025-02-20,CH_01,Google Ads,1312.14,112
SP_103_FA,2025-02-20,CH_01,Facebook,751.02,96
SP_103_IN,2025-02-20,CH_01,Instagram,366.64,51
SP_104_GO,2025-02-21,CH_01,Google Ads,1324.12,120
SP_104_FA,2025-02-21,CH_01,Facebook,529.86,80
SP_104_IN,2025-02-21,CH_01,Instagram,260.39,38
SP_105_GO,2025-02-22,CH_01,Google Ads,1551.83,155
SP_105_FA,2025-02-22,CH_01,Facebook,549.57,72
SP_105_IN,2025-02-22,CH_01,Instagram,478.44,69
SP_106_GO,2025-02-23,CH_01,Google Ads,1293.97,118
SP_106_FA,2025-02-23,CH_01,Facebook,495.37,85
SP_106_IN,2025-02-23,CH_01,Instagram,342.66,49
SP_107_GO,2025-02-24,CH_01,Google Ads,1803.91,141
SP_107_FA,2025-02-24,CH_01,Facebook,572.35,97
SP_107_IN,2025-02-24,CH_01,Instagram,416.95,58
SP_108_GO,2025-02-25,CH_01,Google Ads,1900.29,149
SP_108_FA,2025-02-25,CH_01,Facebook,548.03,85
SP_108_IN,2025-02-25,CH_01,Instagram,449.03,69
SP_109_GO,2025-02-26,CH_01,Google Ads,1733.02,148
SP_109_FA,2025-02-26,CH_01,Facebook,651.81,90
SP_109_IN,2025-02-26,CH_01,Instagram,525.58,77
SP_110_GO,2025-02-27,CH_01,Google Ads,1115.86,106
SP_110_FA,2025-02-27,CH_01,Facebook,713.04,114
SP_110_IN,2025-02-27,CH_01,Instagram,545.14,99
SP_111_GO,2025-02-28,CH_01,Google Ads,1350.96,109
SP_111_FA,2025-02-28,CH_01,Facebook,579.75,90
SP_111_IN,2025-02-28,CH_01,Instagram,503.18,77
SP_112_GO,2025-03-01,CH_01,Google Ads,1267.42,116
SP_112_FA,2025-03-01,CH_01,Facebook,610.97,89
SP_112_IN,2025-03-01,CH_01,Instagram,720.4,113
SP_113_GO,2025-03-02,CH_01,Google Ads,1243.19,113
SP_113_FA,2025-03-02,CH_01,Facebook,756.96,121
SP_113_IN,2025-03-02,CH_01,Instagram,484.54,76
SP_114_GO,2025-03-03,CH_01,Google Ads,1010.17,94
SP_114_FA,2025-03-03,CH_01,Facebook,636.7,95
SP_114_IN,2025-03-03,CH_01,Instagram,547.54,74
SP_115_GO,2025-03-04,CH_01,Google Ads,1250.02,123
SP_115_FA,2025-03-04,CH_01,Facebook,520.63,74
SP_115_IN,2025-03-04,CH_01,Instagram,414.48,63
SP_116_GO,2025-03-05,CH_01,Google Ads,1636.51,125
SP_116_FA,2025-03-05,CH_01,Facebook,581.73,89
SP_116_IN,2025-03-05,CH_01,Instagram,644.11,90
SP_117_GO,2025-03-06,CH_01,Google Ads,1397.89,124
SP_117_FA,2025-03-06,CH_01,Facebook,714.92,101
SP_117_IN,2025-03-06,CH_01,Instagram,217.38,32
SP_118_GO,2025-03-07,CH_01,Google Ads,1744.31,136
SP_118_FA,2025-03-07,CH_01,Facebook,557.1,76
SP_118_IN,2025-03-07,CH_01,Instagram,484.29,74
SP_119_GO,2025-03-08,CH_01,Google Ads,1407.17,122
SP_119_FA,2025-03-08,CH_01,Facebook,709.28,93
SP_119_IN,2025-03-08,CH_01,Instagram,555.71,91
SP_120_GO,2025-03-09,CH_01,Google Ads,1288.9,116
SP_120_FA,2025-03-09,CH_01,Facebook,495.26,79
SP_120_IN,2025-03-09,CH_01,Instagram,472.45,70
SP_121_GO,2025-03-10,CH_01,Google Ads,1344.54,117
SP_121_FA,2025-03-10,CH_01,Facebook,777.24,97
SP_121_IN,2025-03-10,CH_01,Instagram,365.23,62
SP_122_GO,2025-03-11,CH_01,Google Ads,1561.48,118
SP_122_FA,2025-03-11,CH_01,Facebook,522.64,69
SP_122_IN,2025-03-11,CH_01,Instagram,474.29,90
SP_123_GO,2025-03-12,CH_01,Google Ads,1531.0,127
SP_123_FA,2025-03-12,CH_01,Facebook,580.35,85
SP_123_IN,2025-03-12,CH_01,Instagram,373.42,59
SP_124_GO,2025-03-13,CH_01,Google Ads,1259.53,114
SP_124_FA,2025-03-13,CH_01,Facebook,654.53,83
SP_124_IN,2025-03-13,CH_01,Instagram,268.34,48
SP_125_GO,2025-03-14,CH_01,Google Ads,1596.59,141
SP_125_FA,2025-03-14,CH_01,Facebook,592.28,83
SP_125_IN,2025-03-14,CH_01,Instagram,454.61,73
SP_126_GO,2025-03-15,CH_01,Google Ads,1369.3,129
SP_126_FA,2025-03-15,CH_01,Facebook,497.64,84
SP_126_IN,2025-03-15,CH_01,Instagram,583.17,91
SP_127_GO,2025-03-16,CH_01,Google Ads,1575.88,132
SP_127_FA,2025-03-16,CH_01,Facebook,712.36,99
SP_127_IN,2025-03-16,CH_01,Instagram,456.01,76
SP_128_GO,2025-03-17,CH_01,Google Ads,1117.88,98
SP_128_FA,2025-03-17,CH_01,Facebook,617.62,77
SP_128_IN,2025-03-17,CH_01,Instagram,465.68,76
SP_129_GO,2025-03-18,CH_01,Google Ads,1336.57,115
SP_129_FA,2025-03-18,CH_01,Facebook,647.37,88
SP_129_IN,2025-03-18,CH_01,Instagram,410.16,71
SP_130_GO,2025-03-19,CH_01,Google Ads,903.66,81
SP_130_FA,2025-03-19,CH_01,Facebook,699.13,100
SP_130_IN,2025-03-19,CH_01,Instagram,595.76,92
SP_131_GO,2025-03-20,CH_01,Google Ads,1808.6,144
SP_131_FA,2025-03-20,CH_01,Facebook,702.73,108
SP_131_IN,2025-03-20,CH_01,Instagram,499.51,70
SP_132_GO,2025-03-21,CH_01,Google Ads,1489.24,124
SP_132_FA,2025-03-21,CH_01,Facebook,539.84,65
SP_132_IN,2025-03-21,CH_01,Instagram,300.46,55
SP_133_GO,2025-03-22,CH_01,Google Ads,1045.06,113
SP_133_FA,2025-03-22,CH_01,Facebook,607.16,70
SP_133_IN,2025-03-22,CH_01,Instagram,362.73,63
SP_134_GO,2025-03-23,CH_01,Google Ads,1280.88,120
SP_134_FA,2025-03-23,CH_01,Facebook,702.2,105
SP_134_IN,2025-03-23,CH_01,Instagram,436.86,74
SP_135_GO,2025-03-24,CH_01,Google Ads,1985.91,166
SP_135_FA,2025-03-24,CH_01,Facebook,611.72,87
SP_135_IN,2025-03-24,CH_01,Instagram,366.26,60
SP_136_GO,2025-03-25,CH_01,Google Ads,1369.63,105
SP_136_FA,2025-03-25,CH_01,Facebook,477.88,80
SP_136_IN,2025-03-25,CH_01,Instagram,342.14,49
SP_137_GO,2025-03-26,CH_01,Google Ads,1308.31,115
SP_137_FA,2025-03-26,CH_01,Facebook,749.51,111
SP_137_IN,2025-03-26,CH_01,Instagram,498.37,81
SP_138_GO,2025-03-27,CH_01,Google Ads,1448.22,130
SP_138_FA,2025-03-27,CH_01,Facebook,652.15,85
SP_138_IN,2025-03-27,CH_01,Instagram,532.36,83
SP_139_GO,2025-03-28,CH_01,Google Ads,1439.8,111
SP_139_FA,2025-03-28,CH_01,Facebook,697.47,100
SP_139_IN,2025-03-28,CH_01,Instagram,407.91,58
SP_140_GO,2025-03-29,CH_01,Google Ads,1384.64,122
SP_140_FA,2025-03-29,CH_01,Facebook,680.3,92
SP_140_IN,2025-03-29,CH_01,Instagram,484.56,68
SP_141_GO,2025-03-30,CH_01,Google Ads,1702.49,142
SP_141_FA,2025-03-30,CH_01,Facebook,821.36,114
SP_141_IN,2025-03-30,CH_01,Instagram,575.83,82
SP_142_GO,2025-03-31,CH_01,Google Ads,1703.3,138
SP_142_FA,2025-03-31,CH_01,Facebook,841.06,101
SP_142_IN,2025-03-31,CH_01,Instagram,385.16,60
SP_143_GO,2025-04-01,CH_01,Google Ads,1294.72,116
SP_143_FA,2025-04-01,CH_01,Facebook,431.56,54
SP_143_IN,2025-04-01,CH_01,Instagram,336.0,51
SP_144_GO,2025-04-02,CH_01,Google Ads,1134.68,94
SP_144_FA,2025-04-02,CH_01,Facebook,490.93,75
SP_144_IN,2025-04-02,CH_01,Instagram,447.9,73
SP_145_GO,2025-04-03,CH_01,Google Ads,1270.73,109
SP_145_FA,2025-04-03,CH_01,Facebook,699.77,104
SP_145_IN,2025-04-03,CH_01,Instagram,338.63,52
SP_146_GO,2025-04-04,CH_01,Google Ads,1657.1,129
SP_146_FA,2025-04-04,CH_01,Facebook,491.18,70
SP_146_IN,2025-04-04,CH_01,Instagram,684.87,91
SP_147_GO,2025-04-05,CH_01,Google Ads,1103.67,102
SP_147_FA,2025-04-05,CH_01,Facebook,659.25,96
