booking_id,booking_date,check_in_date,channel_id,rate_code_id,gross_room_revenue,commission_amount,net_room_revenue,status
RES-00027,2024-12-04,2025-01-28,CH_05,RT_CORP,5238.0,419.04,4818.96,Checked-Out
RES-00378,2024-12-04,2025-01-14,CH_03,RT_PROMO,10200.0,2040.0,8160.0,Checked-Out
RES-00731,2024-12-04,2025-01-02,CH_01,RT_ADV,3492.0,0.0,3492.0,Checked-Out
RES-00749,2024-12-04,2025-01-20,CH_06,RT_CORP,11700.0,250.0,11450.0,Checked-Out
RES-01473,2024-12-04,2025-01-14,CH_03,RT_PROMO,9360.0,0.0,0.0,Cancelled
RES-03663,2024-12-04,2025-01-14,CH_02,RT_PROMO,9360.0,1684.8,7675.2,Checked-Out
RES-04389,2024-12-04,2025-01-10,CH_03,RT_PACK,12750.0,2550.0,10200.0,Checked-Out
RES-00374,2024-12-05,2025-01-10,CH_03,RT_RACK,11700.0,2340.0,9360.0,Checked-Out
RES-01112,2024-12-05,2025-01-18,CH_06,RT_ADV,5238.0,250.0,4988.0,Checked-Out
RES-01469,2024-12-05,2025-01-10,CH_02,RT_RACK,11700.0,2106.0,9594.0,Checked-Out
RES-01827,2024-12-05,2025-01-03,CH_01,RT_PROMO,5238.0,0.0,0.0,Cancelled
RES-01849,2024-12-05,2025-01-25,CH_02,RT_ADV,11700.0,2106.0,9594.0,Checked-Out
RES-02563,2024-12-05,2025-01-09,CH_02,RT_PROMO,9360.0,1684.8,7675.2,Checked-Out
RES-03288,2024-12-05,2025-01-04,CH_03,RT_PACK,10200.0,2040.0,8160.0,Checked-Out
RES-03289,2024-12-05,2025-01-05,CH_03,RT_ADV,12750.0,2550.0,10200.0,Checked-Out
RES-00001,2024-12-06,2025-01-02,CH_01,RT_PACK,3492.0,0.0,3492.0,Checked-Out
RES-00753,2024-12-06,2025-01-24,CH_02,RT_ADV,9360.0,1684.8,7675.2,Checked-Out
RES-01470,2024-12-06,2025-01-11,CH_03,RT_PROMO,2340.0,0.0,0.0,Cancelled
RES-02569,2024-12-06,2025-01-15,CH_02,RT_PROMO,11700.0,0.0,0.0,Cancelled
RES-03302,2024-12-06,2025-01-18,CH_01,RT_ADV,5238.0,0.0,5238.0,Checked-Out
RES-03670,2024-12-06,2025-01-21,CH_03,RT_ADV,2340.0,468.0,1872.0,Checked-Out
RES-04383,2024-12-06,2025-01-04,CH_03,RT_RACK,10200.0,2040.0,8160.0,Checked-Out
RES-00002,2024-12-07,2025-01-03,CH_01,RT_PROMO,5238.0,0.0,5238.0,Checked-Out
RES-00018,2024-12-07,2025-01-19,CH_05,RT_CORP,6984.0,558.72,6425.28,Checked-Out
RES-01107,2024-12-07,2025-01-13,CH_06,RT_RACK,5238.0,250.0,4988.0,Checked-Out
RES-01476,2024-12-07,2025-01-17,CH_03,RT_ADV,5100.0,1020.0,4080.0,Checked-Out
RES-01847,2024-12-07,2025-01-23,CH_02,RT_ADV,7020.0,1263.6,5756.4,Checked-Out
RES-02924,2024-12-07,2025-01-05,CH_01,RT_ADV,8730.0,0.0,8730.0,Checked-Out
RES-03305,2024-12-07,2025-01-21,CH_06,RT_PACK,1746.0,250.0,1496.0,Checked-Out
RES-03655,2024-12-07,2025-01-06,CH_02,RT_PROMO,2340.0,421.2,1918.8,Checked-Out
RES-00382,2024-12-08,2025-01-18,CH_03,RT_ADV,7650.0,1530.0,6120.0,Checked-Out
RES-00385,2024-12-08,2025-01-21,CH_03,RT_ADV,2550.0,510.0,2040.0,Checked-Out
RES-04018,2024-12-08,2025-01-04,CH_01,RT_PACK,6984.0,0.0,6984.0,Checked-Out
RES-04025,2024-12-08,2025-01-11,CH_01,RT_PROMO,1746.0,0.0,1746.0,Checked-Out
RES-00379,2024-12-09,2025-01-15,CH_03,RT_PROMO,12750.0,2550.0,10200.0,Checked-Out
RES-00381,2024-12-09,2025-01-17,CH_03,RT_PACK,5100.0,1020.0,4080.0,Checked-Out
RES-00730,2024-12-09,2025-01-01,CH_01,RT_RACK,1746.0,0.0,1746.0,Checked-Out
RES-01482,2024-12-09,2025-01-23,CH_03,RT_ADV,7650.0,1530.0,6120.0,Checked-Out
RES-01826,2024-12-09,2025-01-02,CH_01,RT_RACK,3492.0,0.0,3492.0,Checked-Out
RES-01829,2024-12-09,2025-01-05,CH_01,RT_RACK,8730.0,0.0,8730.0,Checked-Out
RES-01836,2024-12-09,2025-01-12,CH_06,RT_PACK,3492.0,250.0,3242.0,Checked-Out
RES-01848,2024-12-09,2025-01-24,CH_02,RT_ADV,9360.0,1684.8,7675.2,Checked-Out
RES-02555,2024-12-09,2025-01-01,CH_02,RT_PROMO,2340.0,421.2,1918.8,Checked-Out
RES-02557,2024-12-09,2025-01-03,CH_02,RT_PROMO,7020.0,0.0,0.0,Cancelled
RES-04768,2024-12-09,2025-01-24,CH_02,RT_ADV,9360.0,1684.8,7675.2,Checked-Out
RES-00012,2024-12-10,2025-01-13,CH_01,RT_ADV,5238.0,0.0,5238.0,Checked-Out
RES-00377,2024-12-10,2025-01-13,CH_03,RT_PROMO,7650.0,1530.0,6120.0,Checked-Out
RES-00752,2024-12-10,2025-01-23,CH_02,RT_ADV,7020.0,1263.6,5756.4,Checked-Out
RES-01472,2024-12-10,2025-01-13,CH_03,RT_PROMO,7020.0,0.0,0.0,Cancelled
RES-02213,2024-12-10,2025-01-24,CH_05,RT_CORP,6984.0,558.72,6425.28,Checked-Out
RES-03653,2024-12-10,2025-01-04,CH_02,RT_PACK,9360.0,0.0,0.0,Cancelled
RES-03665,2024-12-10,2025-01-16,CH_02,RT_PACK,2340.0,421.2,1918.8,Checked-Out
RES-03668,2024-12-10,2025-01-19,CH_02,RT_PACK,9360.0,1684.8,7675.2,Checked-Out
RES-04027,2024-12-10,2025-01-13,CH_01,RT_PROMO,5238.0,0.0,5238.0,Checked-Out
RES-04746,2024-12-10,2025-01-02,CH_02,RT_RACK,4680.0,842.4,3837.6,Checked-Out
RES-04749,2024-12-10,2025-01-05,CH_02,RT_PROMO,11700.0,0.0,0.0,Cancelled
RES-04752,2024-12-10,2025-01-08,CH_02,RT_RACK,7020.0,0.0,0.0,Cancelled
RES-00368,2024-12-11,2025-01-04,CH_02,RT_PROMO,9360.0,1684.8,7675.2,Checked-Out
RES-00745,2024-12-11,2025-01-16,CH_02,RT_PROMO,2340.0,421.2,1918.8,Checked-Out
RES-01834,2024-12-11,2025-01-10,CH_01,RT_PACK,8730.0,0.0,8730.0,Checked-Out
RES-02208,2024-12-11,2025-01-19,CH_01,RT_ADV,6984.0,0.0,6984.0,Checked-Out
RES-02942,2024-12-11,2025-01-23,CH_05,RT_CORP,4860.0,388.8,4471.2,Checked-Out
RES-03321,2024-12-11,2025-02-06,CH_01,RT_ADV,3492.0,0.0,3492.0,Checked-Out
RES-04016,2024-12-11,2025-01-02,CH_01,RT_PROMO,3492.0,0.0,3492.0,Checked-Out
RES-00009,2024-12-12,2025-01-10,CH_01,RT_RACK,8730.0,0.0,8730.0,Checked-Out
RES-00020,2024-12-12,2025-01-21,CH_01,RT_ADV,1746.0,0.0,1746.0,Checked-Out
RES-00380,2024-12-12,2025-01-16,CH_03,RT_PROMO,2550.0,510.0,2040.0,Checked-Out
RES-01464,2024-12-12,2025-01-05,CH_02,RT_RACK,11700.0,2106.0,9594.0,Checked-Out
RES-01480,2024-12-12,2025-01-21,CH_03,RT_ADV,2550.0,510.0,2040.0,Checked-Out
RES-01483,2024-12-12,2025-01-24,CH_03,RT_PACK,10200.0,2040.0,8160.0,Checked-Out
RES-02192,2024-12-12,2025-01-03,CH_04,RT_ADV,14040.0,0.0,14040.0,Checked-Out
RES-02573,2024-12-12,2025-01-19,CH_03,RT_ADV,9360.0,1872.0,7488.0,Checked-Out
RES-02923,2024-12-12,2025-01-04,CH_01,RT_PACK,6984.0,0.0,6984.0,Checked-Out
RES-03301,2024-12-12,2025-01-17,CH_01,RT_ADV,3492.0,0.0,3492.0,Checked-Out
RES-03657,2024-12-12,2025-01-08,CH_02,RT_PROMO,7020.0,1263.6,5756.4,Checked-Out
RES-00014,2024-12-13,2025-01-15,CH_01,RT_ADV,8730.0,0.0,8730.0,Checked-Out
RES-00033,2024-12-13,2025-02-03,CH_05,RT_CORP,6984.0,558.72,6425.28,Checked-Out
RES-01102,2024-12-13,2025-01-08,CH_01,RT_RACK,5238.0,0.0,5238.0,Checked-Out
RES-01114,2024-12-13,2025-01-20,CH_01,RT_PROMO,8730.0,0.0,8730.0,Checked-Out
RES-01489,2024-12-13,2025-01-30,CH_03,RT_ADV,12750.0,2550.0,10200.0,Checked-Out
RES-00025,2024-12-14,2025-01-26,CH_01,RT_ADV,1746.0,0.0,0.0,Cancelled
RES-00742,2024-12-14,2025-01-13,CH_02,RT_RACK,4860.0,874.8,3985.2,Checked-Out
RES-01121,2024-12-14,2025-01-27,CH_05,RT_CORP,3492.0,279.36,3212.64,Checked-Out
RES-01486,2024-12-14,2025-01-27,CH_03,RT_ADV,5100.0,1020.0,4080.0,Checked-Out
RES-02571,2024-12-14,2025-01-17,CH_03,RT_PACK,4680.0,0.0,0.0,Cancelled
RES-02574,2024-12-14,2025-01-20,CH_03,RT_PROMO,11700.0,2340.0,9360.0,Checked-Out
RES-02580,2024-12-14,2025-01-26,CH_03,RT_ADV,2550.0,0.0,0.0,Cancelled
RES-03664,2024-12-14,2025-01-15,CH_06,RT_PACK,11700.0,250.0,11450.0,Checked-Out
RES-04017,2024-12-14,2025-01-03,CH_01,RT_PACK,5238.0,0.0,5238.0,Checked-Out
RES-04387,2024-12-14,2025-01-08,CH_03,RT_RACK,7650.0,1530.0,6120.0,Checked-Out
RES-04756,2024-12-14,2025-01-12,CH_02,RT_PACK,4680.0,842.4,3837.6,Checked-Out
RES-04765,2024-12-14,2025-01-21,CH_02,RT_ADV,2340.0,421.2,1918.8,Checked-Out
RES-00010,2024-12-15,2025-01-11,CH_01,RT_PROMO,1746.0,0.0,1746.0,Checked-Out
RES-00024,2024-12-15,2025-01-25,CH_01,RT_ADV,8730.0,0.0,8730.0,Checked-Out
RES-00034,2024-12-15,2025-02-04,CH_05,RT_CORP,8730.0,698.4,8031.6,Checked-Out
RES-00741,2024-12-15,2025-01-12,CH_02,RT_PROMO,3240.0,583.2,2656.8,Checked-Out
RES-00755,2024-12-15,2025-01-26,CH_05,RT_CORP,2340.0,187.2,2152.8,Checked-Out
RES-01100,2024-12-15,2025-01-06,CH_01,RT_RACK,1746.0,0.0,1746.0,Checked-Out
RES-01474,2024-12-15,2025-01-15,CH_03,RT_PROMO,11700.0,2340.0,9360.0,Checked-Out
RES-01478,2024-12-15,2025-01-19,CH_03,RT_RACK,10200.0,2040.0,8160.0,Checked-Out
RES-02203,2024-12-15,2025-01-14,CH_01,RT_ADV,6984.0,0.0,6984.0,Checked-Out
RES-02218,2024-12-15,2025-01-29,CH_01,RT_ADV,6984.0,0.0,6984.0,Checked-Out
RES-02568,2024-12-15,2025-01-14,CH_02,RT_PROMO,9360.0,1684.8,7675.2,Checked-Out
RES-04750,2024-12-15,2025-01-06,CH_02,RT_RACK,2340.0,421.2,1918.8,Checked-Out
RES-00383,2024-12-16,2025-01-19,CH_03,RT_PROMO,10200.0,0.0,0.0,Cancelled
RES-00732,2024-12-16,2025-01-03,CH_01,RT_RACK,5238.0,0.0,5238.0,Checked-Out
RES-00750,2024-12-16,2025-01-21,CH_02,RT_ADV,2340.0,421.2,1918.8,Checked-Out
RES-00754,2024-12-16,2025-01-25,CH_02,RT_ADV,11700.0,2106.0,9594.0,Checked-Out
RES-00760,2024-12-16,2025-01-31,CH_02,RT_ADV,2340.0,421.2,1918.8,Checked-Out
RES-01503,2024-12-16,2025-02-13,CH_05,RT_CORP,6984.0,558.72,6425.28,Checked-Out
RES-01832,2024-12-16,2025-01-08,CH_01,RT_RACK,5238.0,0.0,5238.0,Checked-Out
RES-01838,2024-12-16,2025-01-14,CH_01,RT_PROMO,6984.0,0.0,6984.0,Checked-Out
RES-01856,2024-12-16,2025-02-01,CH_02,RT_ADV,4680.0,842.4,3837.6,Checked-Out
RES-01861,2024-12-16,2025-02-06,CH_02,RT_ADV,4680.0,842.4,3837.6,Checked-Out
RES-02200,2024-12-16,2025-01-11,CH_01,RT_RACK,1746.0,0.0,1746.0,Checked-Out
RES-02207,2024-12-16,2025-01-18,CH_06,RT_PACK,5238.0,0.0,0.0,Cancelled
RES-02576,2024-12-16,2025-01-22,CH_03,RT_PROMO,5100.0,1020.0,4080.0,Checked-Out
RES-02927,2024-12-16,2025-01-08,CH_01,RT_PROMO,5238.0,0.0,0.0,Cancelled
RES-02929,2024-12-16,2025-01-10,CH_01,RT_PACK,8730.0,0.0,8730.0,Checked-Out
RES-03671,2024-12-16,2025-01-22,CH_03,RT_ADV,4680.0,936.0,3744.0,Checked-Out
RES-04022,2024-12-16,2025-01-08,CH_01,RT_PROMO,5238.0,0.0,5238.0,Checked-Out
RES-04023,2024-12-16,2025-01-09,CH_01,RT_RACK,6984.0,0.0,6984.0,Checked-Out
RES-00384,2024-12-17,2025-01-20,CH_03,RT_PROMO,12750.0,2550.0,10200.0,Checked-Out
RES-00401,2024-12-17,2025-02-06,CH_01,RT_ADV,3492.0,0.0,3492.0,Checked-Out
RES-04773,2024-12-17,2025-01-29,CH_03,RT_PROMO,9360.0,0.0,0.0,Cancelled
RES-00739,2024-12-18,2025-01-10,CH_01,RT_RACK,8730.0,0.0,8730.0,Checked-Out
RES-02932,2024-12-18,2025-01-13,CH_01,RT_PROMO,5238.0,0.0,5238.0,Checked-Out
RES-02937,2024-12-18,2025-01-18,CH_01,RT_RACK,5238.0,0.0,5238.0,Checked-Out
RES-04029,2024-12-18,2025-01-15,CH_01,RT_ADV,8730.0,0.0,8730.0,Checked-Out
RES-04041,2024-12-18,2025-01-27,CH_02,RT_PROMO,3240.0,0.0,0.0,Cancelled
RES-04788,2024-12-18,2025-02-13,CH_03,RT_ADV,10200.0,2040.0,8160.0,Checked-Out
RES-01106,2024-12-19,2025-01-12,CH_01,RT_PACK,3492.0,0.0,3492.0,Checked-Out
RES-01843,2024-12-19,2025-01-19,CH_02,RT_ADV,6480.0,1166.4,5313.6,Checked-Out
RES-02566,2024-12-19,2025-01-12,CH_02,RT_RACK,4680.0,842.4,3837.6,Checked-Out
RES-02585,2024-12-19,2025-01-31,CH_03,RT_PACK,2550.0,510.0,2040.0,Checked-Out
RES-04026,2024-12-19,2025-01-12,CH_01,RT_PROMO,3492.0,0.0,3492.0,Checked-Out
RES-04055,2024-12-19,2025-02-10,CH_02,RT_ADV,2340.0,421.2,1918.8,Checked-Out
RES-00015,2024-12-20,2025-01-16,CH_06,RT_PROMO,1746.0,250.0,1496.0,Checked-Out
RES-00757,2024-12-20,2025-01-28,CH_02,RT_PROMO,7020.0,1263.6,5756.4,Checked-Out
RES-01101,2024-12-20,2025-01-07,CH_01,RT_RACK,3492.0,0.0,3492.0,Checked-Out
RES-01487,2024-12-20,2025-01-28,CH_03,RT_ADV,7650.0,1530.0,6120.0,Checked-Out
RES-01835,2024-12-20,2025-01-11,CH_01,RT_PROMO,1746.0,0.0,1746.0,Checked-Out
RES-01840,2024-12-20,2025-01-16,CH_02,RT_PROMO,1620.0,291.6,1328.4,Checked-Out
RES-01850,2024-12-20,2025-01-26,CH_02,RT_PROMO,2340.0,421.2,1918.8,Checked-Out
RES-02195,2024-12-20,2025-01-06,CH_04,RT_ADV,4680.0,0.0,4680.0,Checked-Out
RES-02562,2024-12-20,2025-01-08,CH_02,RT_RACK,7020.0,1263.6,5756.4,Checked-Out
RES-02570,2024-12-20,2025-01-16,CH_03,RT_PROMO,2340.0,0.0,0.0,Cancelled
RES-02587,2024-12-20,2025-02-02,CH_03,RT_PROMO,7650.0,0.0,0.0,Cancelled
RES-02926,2024-12-20,2025-01-07,CH_01,RT_PROMO,3492.0,0.0,3492.0,Checked-Out
RES-02951,2024-12-20,2025-02-01,CH_02,RT_ADV,4680.0,842.4,3837.6,Checked-Out
RES-03311,2024-12-20,2025-01-27,CH_01,RT_ADV,3492.0,0.0,3492.0,Checked-Out
RES-00011,2024-12-21,2025-01-12,CH_01,RT_PROMO,3492.0,0.0,3492.0,Checked-Out
RES-00373,2024-12-21,2025-01-09,CH_03,RT_PROMO,9360.0,0.0,0.0,Cancelled
RES-00737,2024-12-21,2025-01-08,CH_01,RT_PROMO,5238.0,0.0,5238.0,Checked-Out
RES-01116,2024-12-21,2025-01-22,CH_01,RT_ADV,3492.0,0.0,3492.0,Checked-Out
RES-01479,2024-12-21,2025-01-20,CH_03,RT_PROMO,12750.0,0.0,0.0,Cancelled
RES-01841,2024-12-21,2025-01-17,CH_02,RT_RACK,3240.0,583.2,2656.8,Checked-Out
RES-02201,2024-12-21,2025-01-12,CH_01,RT_PACK,3492.0,0.0,3492.0,Checked-Out
RES-02211,2024-12-21,2025-01-22,CH_01,RT_PROMO,3492.0,0.0,0.0,Cancelled
RES-02941,2024-12-21,2025-01-22,CH_02,RT_RACK,3240.0,583.2,2656.8,Checked-Out
RES-02955,2024-12-21,2025-02-05,CH_02,RT_ADV,2340.0,0.0,0.0,Cancelled
RES-03303,2024-12-21,2025-01-19,CH_01,RT_RACK,6984.0,0.0,6984.0,Checked-Out
RES-03686,2024-12-21,2025-02-06,CH_03,RT_PROMO,5100.0,1020.0,4080.0,Checked-Out
RES-04020,2024-12-21,2025-01-06,CH_01,RT_RACK,1746.0,0.0,1746.0,Checked-Out
RES-04051,2024-12-21,2025-02-06,CH_02,RT_ADV,4680.0,842.4,3837.6,Checked-Out
RES-04403,2024-12-21,2025-01-24,CH_01,RT_ADV,6984.0,0.0,6984.0,Checked-Out
RES-04763,2024-12-21,2025-01-19,CH_02,RT_RACK,9360.0,1684.8,7675.2,Checked-Out
RES-04776,2024-12-21,2025-02-01,CH_03,RT_ADV,5100.0,1020.0,4080.0,Checked-Out
RES-00735,2024-12-22,2025-01-06,CH_01,RT_PROMO,1746.0,0.0,1746.0,Checked-Out
RES-01099,2024-12-22,2025-01-05,CH_04,RT_PACK,23400.0,0.0,23400.0,Checked-Out
RES-02561,2024-12-22,2025-01-07,CH_02,RT_RACK,4680.0,0.0,0.0,Cancelled
RES-02577,2024-12-22,2025-01-23,CH_03,RT_RACK,7650.0,1530.0,6120.0,Checked-Out
RES-02586,2024-12-22,2025-02-01,CH_03,RT_ADV,5100.0,1020.0,4080.0,Checked-Out
RES-02943,2024-12-22,2025-01-24,CH_02,RT_ADV,6480.0,1166.4,5313.6,Checked-Out
RES-03651,2024-12-22,2025-01-02,CH_02,RT_RACK,4680.0,842.4,3837.6,Checked-Out
RES-00007,2024-12-23,2025-01-08,CH_01,RT_PACK,5238.0,0.0,5238.0,Checked-Out
RES-01132,2024-12-23,2025-02-07,CH_01,RT_ADV,5238.0,0.0,5238.0,Checked-Out
RES-01485,2024-12-23,2025-01-26,CH_03,RT_ADV,2550.0,510.0,2040.0,Checked-Out
RES-01837,2024-12-23,2025-01-13,CH_01,RT_PROMO,5238.0,0.0,5238.0,Checked-Out
RES-03291,2024-12-23,2025-01-07,CH_04,RT_RACK,9360.0,0.0,9360.0,Checked-Out
RES-03674,2024-12-23,2025-01-25,CH_03,RT_RACK,11700.0,2340.0,9360.0,Checked-Out
RES-03681,2024-12-23,2025-02-01,CH_03,RT_PROMO,5100.0,1020.0,4080.0,Checked-Out
RES-04032,2024-12-23,2025-01-18,CH_01,RT_RACK,5238.0,0.0,5238.0,Checked-Out
RES-04755,2024-12-23,2025-01-11,CH_02,RT_RACK,2340.0,421.2,1918.8,Checked-Out
RES-04767,2024-12-23,2025-01-23,CH_02,RT_RACK,7020.0,1263.6,5756.4,Checked-Out
RES-04774,2024-12-23,2025-01-30,CH_03,RT_PROMO,11700.0,2340.0,9360.0,Checked-Out
RES-04786,2024-12-23,2025-02-11,CH_03,RT_ADV,5100.0,1020.0,4080.0,Checked-Out
RES-00013,2024-12-24,2025-01-14,CH_01,RT_PROMO,6984.0,0.0,6984.0,Checked-Out
RES-00017,2024-12-24,2025-01-18,CH_01,RT_PROMO,5238.0,0.0,5238.0,Checked-Out
RES-00376,2024-12-24,2025-01-12,CH_03,RT_RACK,5100.0,0.0,0.0,Cancelled
RES-00765,2024-12-24,2025-02-05,CH_05,RT_CORP,2340.0,187.2,2152.8,Checked-Out
RES-01128,2024-12-24,2025-02-03,CH_01,RT_ADV,6984.0,0.0,6984.0,Checked-Out
RES-02945,2024-12-24,2025-01-26,CH_02,RT_RACK,2340.0,421.2,1918.8,Checked-Out
RES-02949,2024-12-24,2025-01-30,CH_02,RT_PROMO,11700.0,2106.0,9594.0,Checked-Out
RES-03299,2024-12-24,2025-01-15,CH_04,RT_ADV,23400.0,0.0,0.0,Cancelled
RES-00008,2024-12-25,2025-01-09,CH_01,RT_PACK,6984.0,0.0,6984.0,Checked-Out
